"","tok","RF_PoStag","tree_PoStag","tok_2","f.s","tok_3","oed_check","oed_FALSE","oed_TRUE","oed_tt","oed_NNS"
"243","P","N.Name.*.*.*","NN","P",NA,"P",0,NA,"P",NA,NA
"244",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"245","Printed","N.Name.*.*.*","VVN","Printed",NA,"Printed",0,NA,"Printed",NA,NA
"246","for","N.Name.*.*.*","IN","for","for","for",0,NA,"for",NA,NA
"247","W","N.Name.Nom.Sg.Fem","NP","W",NA,"W",0,NA,"W",NA,NA
"248",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"249","Nicor","N.Name.Nom.Sg.Fem","NP","Nicor",NA,"Nicor",0,NA,"Nicor",NA,NA
"250",",","SYM.Pun.Comma",",",",",NA,",",1,",",NA,NA,NA
"251","in","APPR.In","IN","in",NA,"in",0,NA,"in",NA,NA
"252","Sr","N.Name.*.*.*","NP","Sr",NA,"Sr",0,NA,"Sr",NA,NA
"253",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"254","Pavi's","N.Name.*.*.*","NP","Pavi's",NA,"Pavi's",1,"Pavi's",NA,NA,NA
"255","CurncnVanp","N.Name.Dat.Sg.*","NP","CurncnVanp",NA,"CurncnVanp",1,"CurncnVanp",NA,NA,NA
"256",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
"257","1764","CARD","LS","1764",NA,"1764",1,"1764",NA,NA,NA
"258",".","SYM.Pun.Sent","SENT",".",NA,".",1,".",NA,NA,NA
